epochs,precision,recall,AUC,F1,sensitivity,specificity,IOU
1,0.0,0.0,62.36043956102484,0.0,0.0,100.0,0.0
2,0.0,0.0,63.48858292610735,0.0,0.0,100.0,0.0
3,0.0,0.0,52.27679288848177,0.0,0.0,100.0,0.0
4,0.0,0.0,66.12508990190544,0.0,0.0,100.0,0.0
5,0.0,0.0,66.77265223155993,0.0,0.0,100.0,0.0
6,0.0,0.0,72.38443101779227,0.0,0.0,100.0,0.0
7,21.714285714285715,0.013032265144863917,83.62800159292925,0.02604889652075857,0.013032265144863917,99.999738546425,0.013026144843874798
8,23.23717948717949,0.04972838015803337,84.94752755859184,0.09924437387066745,0.04972838015803337,99.99908586669761,0.049646822774538364
9,54.47898710099269,3.143176580333626,91.60811212419794,5.943444863443437,3.143176580333626,99.98538531768327,3.062738519325496
10,51.69677149872144,17.402875329236174,93.02329377960265,26.039857238525073,17.402875329236174,99.90951607042528,14.968864031245113
11,63.50620929680703,16.520796751536434,94.33526676959923,26.220478012617093,16.520796751536434,99.94717111048685,15.088358923280273
12,54.22184424735755,36.7345258999122,95.89777549088089,43.79712467902062,36.7345258999122,99.82741773945331,28.038616183615346
13,71.18413597733712,15.081074407374889,95.14918887535794,24.88913541186159,15.081074407374889,99.96602821103158,14.213358760120883
14,69.59546508631796,31.494869402985078,96.86337954920205,43.36517620614915,31.494869402985078,99.92343417934876,27.685526855268556
15,64.06758976335325,47.89117372695347,97.50949112333844,54.810753101780804,47.89117372695347,99.85053443400835,37.75124830023006
16,78.47156359355071,32.915729258121154,97.94174937060421,46.37779903936293,32.915729258121154,99.94974938625204,30.189516065615024
17,70.4887856401069,49.11689255926251,98.33407523024373,57.893407119801275,49.11689255926251,99.88557112147934,40.73942379901236
18,69.40704934915524,51.31214332748024,98.61301759271667,59.00345065562457,51.31214332748024,99.87414350098932,41.847443026078786
19,71.39365553932463,43.07678061896401,98.48761266918211,53.732805438091034,43.07678061896401,99.90395302538046,36.73606074077541
20,82.19460851437798,27.5851898595259,97.93786899733227,41.307306351138294,27.5851898595259,99.96674768546792,26.029746802671777
21,69.62256957682044,56.36729038630377,98.99549266531645,62.297642015411604,56.36729038630377,99.86314336663654,45.24079538447987
22,72.65490438001234,50.488709942932395,99.12146744883105,59.5768187143496,50.488709942932395,99.89425825048245,42.42662655046802
23,72.99753810429793,59.08143107989464,99.27133628889557,65.30637001711585,59.08143107989464,99.87838591921734,48.485121401371764
24,75.45416262694519,52.84720697980685,99.33536878869549,62.1589896048051,52.84720697980685,99.90433470943157,45.094699630097864
25,72.8764403443821,57.653026229148374,99.32230511542788,64.37699374638589,57.653026229148374,99.88059586987322,47.46760562584886
26,83.79272870974116,46.54027655838455,99.29913565187522,59.84265857616595,46.54027655838455,99.94990778513325,42.69677062095698
27,72.83356882672439,57.80769863915716,99.4122523631226,64.45652402521544,57.80769863915716,99.88001571011554,47.55413240044575
28,77.14499865650323,56.12447870939421,99.41713153631878,64.97696126991941,56.12447870939421,99.9074740607519,48.12286990504812
29,75.9544248478227,58.413356014047416,99.53127805219195,66.03893926087909,58.413356014047416,99.8970960714024,49.29711581597951
30,75.67191971820651,56.583694578577706,99.47346165558348,64.75032181093215,56.583694578577706,99.89877166438674,47.874658688959364
31,74.88094383420682,64.38727776558385,99.63305868488818,69.23876925573386,64.38727776558385,99.87980960072794,52.95053347359989
32,75.18850539564004,64.08753566725197,99.64294882552973,69.19562021632309,64.08753566725197,99.8823172649437,52.90007898111531
33,79.24102516867386,59.008724758560135,99.6144508039625,67.64441666224378,59.008724758560135,99.91397795698268,51.10809454076677
34,67.89558437155692,65.93777436347673,99.58038926623075,66.90235924559816,65.93777436347673,99.82650169773066,50.265623692796794
35,81.23126029945746,58.99980794556628,99.64648366535218,68.35330881841678,58.99980794556628,99.92414220326356,51.921782617487544
36,75.66460493957074,66.58149967076383,99.68717847319604,70.83305209197961,66.58149967076383,99.88083823924568,54.83837253971482
37,80.12155021075237,61.670050482879724,99.66913243432481,69.69524318919107,61.670050482879724,99.91485773872047,53.48633840772402
38,78.49389674535338,63.7130295215101,99.64760015509057,70.335307736138,63.7130295215101,99.9028614089943,54.24399388000607
39,80.4716234964624,63.85398375768217,99.71580962969578,71.20612672218452,63.85398375768217,99.91377184759509,55.286889748698655
40,79.35051182492057,63.9897936786655,99.69131461356474,70.84710559440161,63.9897936786655,99.90733665449349,54.85522095378654
41,76.52395155003433,67.66626426690078,99.72298395688985,71.8230415149149,67.66626426690078,99.88448523035396,56.03428444845831
42,80.86737592197889,61.026325175592625,99.70708349753029,69.55965967394215,61.026325175592625,99.91965550724284,53.3268002061831
43,78.44099391043841,68.69478435030729,99.76054618299295,73.24509680238566,68.69478435030729,99.8949376480934,57.78482327282798
44,85.23503235845035,58.9902052238806,99.73114210626613,69.72471857734106,58.9902052238806,99.94313671006668,53.52106540543904
45,77.22741694377497,69.45339936347673,99.73269865227594,73.13439842835886,69.45339936347673,99.88603486760144,57.64714589483093
46,78.77905344148394,67.35006035996489,99.76458988568224,72.61761693284473,67.35006035996489,99.89904456848328,57.00758235505858
47,81.23392436050517,65.09685030728708,99.73893197172734,72.27560471779836,65.09685030728708,99.91631768021594,56.587157494939376
48,72.19450372004779,64.85952589991221,99.64148978795916,68.33073492032237,64.85952589991221,99.86099257700857,51.89573654791273
49,83.80788560775684,59.82015474100088,99.76328205539447,69.8108903163835,59.82015474100088,99.93568623738915,53.622680488434725
50,79.73326288717867,70.38760700175592,99.76758980924575,74.76953174095749,70.38760700175592,99.90044153211032,59.705543531383086
51,77.5993914695496,72.42235513608428,99.75268171022076,74.92154723574855,72.42235513608428,99.88366460964409,59.89964344774964
52,79.40340032184116,66.16686786654961,99.70546789823341,72.18334296740692,66.16686786654961,99.90449310831278,56.47412836732245
53,84.23788632517285,61.965334174714656,99.75770423136974,71.40511349153186,61.965334174714656,99.93548012800156,55.52717952500369
54,80.03365784211263,66.70770687006146,99.74518257258778,72.76560085893105,66.70770687006146,99.90739390710117,57.19019490810299
55,78.85401941381586,71.73919007901668,99.78930242492635,75.12853343485514,71.73919007901668,99.89294716576691,60.16469214419048
56,83.84378057039656,64.96035447761194,99.79053772191226,73.20390263131961,64.96035447761194,99.93034456909398,57.733561324420954
57,80.3816529095023,69.93422135645304,99.79094181207266,74.79487226511637,69.93422135645304,99.9050198323033,59.73786666588546
58,80.71050642479214,71.41029686128184,99.79540206782627,75.77610818659714,71.41029686128184,99.90502937440458,60.99962501611259
59,76.49443002567547,75.40571499122038,99.80145861933134,75.94617093078281,75.40571499122038,99.87106140227667,61.220335962711644
60,81.29801744905268,68.51713399912204,99.79547522842807,74.362400619361,68.51713399912204,99.91229091347681,59.18801456407036
